TestID;Bars;FinishingType;Machine1;SelectedRule;Filmnumber;Description;Shape;LongFace;ShortFace;DifficultArtwork;Transparant
MF100946-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION2;6;MF100946;Wojnar cup 150gr;Vijfzijdig margarine;140,47;111,53;1;0
MF100946-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_VISION2;6;MF100946;Wojnar cup 150gr;Vijfzijdig margarine;140,47;111,53;1;1
MF100946-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION2;6;MF100946;Wojnar cup 150gr;Vijfzijdig margarine;140,47;111,53;0;0
MF100946-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_VISION2;6;MF100946;Wojnar cup 150gr;Vijfzijdig margarine;140,47;111,53;0;1
MF100948-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100948;DK KERRYGOLD;Deksel rechthoekig;113,86;58,98;1;0
MF100948-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100948;DK KERRYGOLD;Deksel rechthoekig;113,86;58,98;1;1
MF100948-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100948;DK KERRYGOLD;Deksel rechthoekig;113,86;58,98;0;0
MF100948-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF100948;DK KERRYGOLD;Deksel rechthoekig;113,86;58,98;0;1
MF100950-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;29;MF100950;Envase 280ml;Banderole ronde pot;272,44;52,2;1;0
MF100950-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF100950;Envase 280ml;Banderole ronde pot;272,44;52,2;1;1
MF100950-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;31;MF100950;Envase 280ml;Banderole ronde pot;272,44;52,2;0;0
MF100950-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF100950;Envase 280ml;Banderole ronde pot;272,44;52,2;0;1
MF100952-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;23;MF100952;CC 86-330-1 (horloge) met boorgat;Driezijdig;194,8;51,6;1;0
MF100952-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;21;MF100952;CC 86-330-1 (horloge) met boorgat;Driezijdig;194,8;51,6;1;1
MF100952-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;25;MF100952;CC 86-330-1 (horloge) met boorgat;Driezijdig;194,8;51,6;0;0
MF100952-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;21;MF100952;CC 86-330-1 (horloge) met boorgat;Driezijdig;194,8;51,6;0;1
MF101037-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF101037;M436B Foodbox 1L;Deksel rechthoekig;158,2;110,9;1;0
MF101037-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF101037;M436B Foodbox 1L;Deksel rechthoekig;158,2;110,9;1;1
MF101037-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF101037;M436B Foodbox 1L;Deksel rechthoekig;158,2;110,9;0;0
MF101037-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF101037;M436B Foodbox 1L;Deksel rechthoekig;158,2;110,9;0;1
MF101048-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF101048;mini tapa le lechera;Deksel ovaal;88,73;68,33;1;0
MF101048-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF101048;mini tapa le lechera;Deksel ovaal;88,73;68,33;1;1
MF101048-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF101048;mini tapa le lechera;Deksel ovaal;88,73;68,33;0;0
MF101048-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF101048;mini tapa le lechera;Deksel ovaal;88,73;68,33;0;1
MF101057-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;23;MF101057;Tapa 1L ICFC;Deksel ovaal;194,2;129,2;1;0
MF101057-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF101057;Tapa 1L ICFC;Deksel ovaal;194,2;129,2;1;1
MF101057-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;25;MF101057;Tapa 1L ICFC;Deksel ovaal;194,2;129,2;0;0
MF101057-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF101057;Tapa 1L ICFC;Deksel ovaal;194,2;129,2;0;1
MF101082-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF101082;rond DIAM;Deksel rond;115,5;115,5;1;0
MF101082-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF101082;rond DIAM;Deksel rond;115,5;115,5;1;1
MF101082-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF101082;rond DIAM;Deksel rond;115,5;115,5;0;0
MF101082-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF101082;rond DIAM;Deksel rond;115,5;115,5;0;1
MF101107-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF101107;Lid Ø89,50mm;Deksel rond;89,5;89,5;1;0
MF101107-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF101107;Lid Ø89,50mm;Deksel rond;89,5;89,5;1;1
MF101107-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF101107;Lid Ø89,50mm;Deksel rond;89,5;89,5;0;0
